start,end,type,distance,car
2016-09-21T16:38:36.970863+00:00,2016-09-21T16:56:47.601141+00:00,ending,4,BV01571
2016-09-21T16:39:27.427226+00:00,2016-09-21T17:03:10.879971+00:00,starting,4,BV02532
2016-09-21T16:40:28.331271+00:00,2016-09-21T17:13:11.251619+00:00,starting,5,BV02683
2016-09-21T16:57:03.485152+00:00,2016-09-21T17:32:34.106289+00:00,ending,7,BV01622
2016-09-21T17:40:53.823130+00:00,2016-09-21T17:58:29.603522+00:00,starting,3,BV01571
2016-09-21T18:09:00.588375+00:00,2016-09-21T18:45:14.675860+00:00,ending,8,BV01622
2016-09-21T18:09:00.588375+00:00,2016-09-21T18:45:14.675860+00:00,starting,8,BV01622
2016-09-21T18:13:49.263230+00:00,2016-09-21T18:39:33.013602+00:00,ending,6,BV05162
2016-09-21T18:33:16.240268+00:00,2016-09-21T18:48:20.506298+00:00,starting,4,817
2016-09-21T18:43:41.636827+00:00,2016-09-21T19:05:20.055844+00:00,starting,9,BV05162
2016-09-21T19:07:55.005011+00:00,2016-09-21T19:33:57.869624+00:00,ending,8,BV05297
2016-09-21T19:55:53.279481+00:00,2016-09-21T20:22:19.442044+00:00,ending,18,BV05017
2016-09-21T20:08:21.579146+00:00,2016-09-21T20:56:30.573732+00:00,starting,25,BV05297
2016-09-21T20:34:51.477170+00:00,2016-09-21T20:46:38.444019+00:00,ending,2,589
2016-09-21T20:47:19.434405+00:00,2016-09-21T21:15:33.128228+00:00,ending,10,C1731
2016-09-21T20:47:42.479269+00:00,2016-09-21T20:55:52.452659+00:00,starting,3,BV05017
2016-09-21T21:25:02.183882+00:00,2016-09-21T21:51:48.286228+00:00,starting,17,BV01622
2016-09-21T21:27:05.396908+00:00,2016-09-21T21:52:11.054120+00:00,ending,8,BV01779
2016-09-21T21:37:48.829486+00:00,2016-09-21T21:58:27.784065+00:00,ending,6,BV02328
2016-09-21T22:06:31.714698+00:00,2016-09-21T22:45:36.658308+00:00,ending,11,284
2016-09-22T04:19:25.767838+00:00,2016-09-22T04:37:20.528042+00:00,ending,10,BV01528
2016-09-22T04:43:36.377136+00:00,2016-09-22T05:00:47.251557+00:00,starting,8,589
2016-09-22T05:33:32.985912+00:00,2016-09-22T05:58:54.508214+00:00,starting,7,284
2016-09-22T05:36:53.118446+00:00,2016-09-22T06:14:39.787726+00:00,ending,8,BV01528
2016-09-22T05:36:53.118446+00:00,2016-09-22T06:14:39.787726+00:00,starting,8,BV01528
2016-09-22T05:48:37.666295+00:00,2016-09-22T06:28:07.449555+00:00,ending,5,BV01640
2016-09-22T06:04:56.411253+00:00,2016-09-22T06:51:57.462434+00:00,ending,8,1253
2016-09-22T06:16:10.364117+00:00,2016-09-22T07:05:37.283534+00:00,starting,8,BV01528
2016-09-22T06:30:23.360533+00:00,2016-09-22T06:48:33.743900+00:00,starting,3,C1731
2016-09-22T06:31:55.304244+00:00,2016-09-22T07:33:20.128911+00:00,starting,10,BV02328
2016-09-22T06:52:19.987313+00:00,2016-09-22T07:02:41.542627+00:00,ending,2,1168
2016-09-22T06:56:17.696385+00:00,2016-09-22T07:51:00+00:00,starting,14,BV01640
2016-09-22T07:30:50.294085+00:00,2016-09-22T07:39:47.653520+00:00,ending,2,C2033
2016-09-22T07:32:17.303212+00:00,2016-09-22T08:03:18.189259+00:00,starting,6,1253
2016-09-22T07:32:40.014311+00:00,2016-09-22T07:54:31.741336+00:00,starting,4,1168
2016-09-22T07:49:54.400733+00:00,2016-09-22T08:00:11.727263+00:00,starting,3,BV01779
2016-09-22T08:14:33.906332+00:00,2016-09-22T08:40:59.157366+00:00,ending,16,BV05644
2016-09-22T08:26:53.262094+00:00,2016-09-22T10:47:52.150598+00:00,ending,14000,BV06032
2016-09-22T08:31:01.085432+00:00,2016-09-22T09:14:42.828739+00:00,ending,7,C2033
2016-09-22T08:31:01.085432+00:00,2016-09-22T09:14:42.828739+00:00,starting,7,C2033
2016-09-22T08:44:08.210127+00:00,2016-09-22T09:11:15.433055+00:00,ending,5,V0224
2016-09-22T09:52:25.772314+00:00,2016-09-22T10:20:46.551163+00:00,starting,14,BV05644
2016-09-22T10:02:26.100042+00:00,2016-09-22T10:36:37.855179+00:00,ending,19000,BV05277
2016-09-22T10:19:39.073544+00:00,2016-09-22T10:49:22.217043+00:00,ending,8,V1330
2016-09-22T10:40:43.318048+00:00,2016-09-22T10:56:20.133713+00:00,ending,4,703
2016-09-22T10:53:44.561180+00:00,2016-09-22T11:15:41.438337+00:00,starting,6000,BV05277
2016-09-22T11:38:44.153623+00:00,2016-09-22T12:04:28.610224+00:00,starting,7,703
2016-09-22T12:05:31.418426+00:00,2016-09-22T13:10:06.692023+00:00,ending,12,BV01660
2016-09-22T13:02:28.012833+00:00,2016-09-22T14:10:07.776877+00:00,starting,17000,BV06032
2016-09-22T13:40:47.570479+00:00,2016-09-22T14:30:44.675796+00:00,ending,7,BV01660
2016-09-22T13:40:47.570479+00:00,2016-09-22T14:30:44.675796+00:00,starting,7,BV01660
2016-09-22T13:45:13.298667+00:00,2016-09-22T15:48:31.177526+00:00,starting,10,C2033
2016-09-22T13:58:22.592661+00:00,2016-09-22T14:25:28.664029+00:00,ending,4,1389
2016-09-22T14:11:20.611113+00:00,2016-09-22T15:04:34.555970+00:00,starting,14,V0224
2016-09-22T15:25:06.859904+00:00,2016-09-22T15:45:25.506494+00:00,ending,4,BC02148
2016-09-22T15:29:15.422058+00:00,2016-09-22T16:04:03.960460+00:00,ending,7,C1790
2016-09-22T15:31:29.928792+00:00,2016-09-22T15:49:52.589706+00:00,starting,4,BV01660
2016-09-22T16:08:35.348510+00:00,2016-09-22T16:28:37.425421+00:00,ending,6,BC02201
2016-09-22T16:33:58.008207+00:00,2016-09-22T17:32:00.089978+00:00,starting,5,BC02148
2016-09-22T16:42:21.254626+00:00,2016-09-22T17:17:09.752828+00:00,ending,4,1389
2016-09-22T16:42:21.254626+00:00,2016-09-22T17:17:09.752828+00:00,starting,4,1389
2016-09-22T16:53:14.312271+00:00,2016-09-22T17:13:42.127642+00:00,starting,6,C1790
2016-09-22T16:54:00.390885+00:00,2016-09-22T17:07:16.286396+00:00,starting,3,BC02201
2016-09-22T17:19:47.363697+00:00,2016-09-22T17:52:44.573580+00:00,starting,7,V1330
2016-09-22T17:50:46.477247+00:00,2016-09-22T18:23:13.060748+00:00,starting,8,1389
2016-09-22T17:58:04.238087+00:00,2016-09-22T18:37:11.627318+00:00,ending,19,1163
2016-09-22T18:27:29.578866+00:00,2016-09-22T18:46:35.956921+00:00,ending,7,BV05007
2016-09-22T19:05:56.880995+00:00,2016-09-22T19:20:54.632150+00:00,ending,5,BV01819
2016-09-22T19:08:58.447766+00:00,2016-09-22T19:21:34.948461+00:00,ending,3,851
2016-09-22T19:29:34.356907+00:00,2016-09-22T19:57:28.412088+00:00,starting,15,1163
2016-09-22T19:52:01.955247+00:00,2016-09-22T20:08:16.254888+00:00,ending,6,BC02363
2016-09-22T19:59:21.101562+00:00,2016-09-22T20:14:57.872714+00:00,starting,5,BV05007
2016-09-22T20:07:02.505281+00:00,2016-09-22T20:29:14.755639+00:00,starting,13,851
2016-09-22T20:11:00.116899+00:00,2016-09-22T20:38:28.573588+00:00,ending,7,BV01819
2016-09-22T20:11:00.116899+00:00,2016-09-22T20:38:28.573588+00:00,starting,7,BV01819
2016-09-22T20:21:48.997082+00:00,2016-09-22T20:47:00+00:00,starting,19,BC02363
2016-09-22T20:26:41.281286+00:00,2016-09-22T20:43:02.895384+00:00,ending,7,BV02770
2016-09-22T20:27:27.139876+00:00,2016-09-22T20:44:41.311048+00:00,ending,10,V1124
2016-09-22T20:29:48.133110+00:00,2016-09-22T21:09:32.713258+00:00,ending,10,BV05715
2016-09-22T20:37:30.562168+00:00,2016-09-22T20:53:18.731102+00:00,ending,5,V0815
2016-09-22T20:38:52.673195+00:00,2016-09-22T21:25:43.600529+00:00,starting,13,BV01819
2016-09-22T21:00:19.742445+00:00,2016-09-22T21:20:21.982273+00:00,ending,7,BC02227
2016-09-22T21:26:58.744104+00:00,2016-09-22T21:50:48.687745+00:00,ending,9,BV05809
2016-09-22T21:29:09.707237+00:00,2016-09-22T21:54:21.632778+00:00,starting,6,BV05715
2016-09-22T23:12:06.607739+00:00,2016-09-22T23:39:16.946782+00:00,ending,9,232
2016-09-23T03:47:46.582851+00:00,2016-09-23T04:04:00.576870+00:00,starting,7,V0815
2016-09-23T04:36:13.596879+00:00,2016-09-23T04:41:09.059619+00:00,ending,0,232
2016-09-23T04:36:13.596879+00:00,2016-09-23T04:41:09.059619+00:00,starting,0,232
2016-09-23T04:42:43.581401+00:00,2016-09-23T05:12:13.420860+00:00,starting,15,BV02770
2016-09-23T05:24:28.100786+00:00,2016-09-23T05:55:43.886224+00:00,starting,7,BC02227
2016-09-23T05:31:05.509771+00:00,2016-09-23T05:47:40.697129+00:00,starting,4,V1124
2016-09-23T05:37:12.228669+00:00,2016-09-23T06:15:43.489965+00:00,ending,8,BV05809
2016-09-23T05:37:12.228669+00:00,2016-09-23T06:15:43.489965+00:00,starting,8,BV05809
2016-09-23T05:58:00.978817+00:00,2016-09-23T06:31:09.988868+00:00,ending,9,761
2016-09-23T05:59:14.508045+00:00,2016-09-23T06:37:06.862412+00:00,ending,8,BV01814
2016-09-23T06:03:36.957099+00:00,2016-09-23T06:15:38.489546+00:00,starting,2,232
2016-09-23T06:24:56.522365+00:00,2016-09-23T06:36:58.416465+00:00,ending,2,BV01623
2016-09-23T06:36:43.140770+00:00,2016-09-23T07:04:25.095524+00:00,ending,3,753
2016-09-23T06:51:55.048544+00:00,2016-09-23T07:06:37.961100+00:00,ending,2,1234
2016-09-23T07:02:42.670325+00:00,2016-09-23T07:33:59.285693+00:00,starting,7,761
2016-09-23T07:27:03.937373+00:00,2016-09-23T08:03:54.574138+00:00,starting,8,1234
2016-09-23T08:03:58.774054+00:00,2016-09-23T09:49:30.900620+00:00,starting,26,BV01814
2016-09-23T08:17:15.706348+00:00,2016-09-23T08:46:55.975809+00:00,starting,11,753
2016-09-23T08:41:31.899591+00:00,2016-09-23T08:58:11.234208+00:00,starting,4,BV01623
2016-09-23T09:07:46.871626+00:00,2016-09-23T09:53:04.844479+00:00,starting,8,BV05809
2016-09-23T09:27:07.976175+00:00,2016-09-23T09:53:38.979954+00:00,ending,8,761
2016-09-23T10:16:33.188468+00:00,2016-09-23T10:33:39.628612+00:00,starting,8,761
2016-09-23T11:33:11.368809+00:00,2016-09-23T11:47:42.725464+00:00,ending,4,896
2016-09-23T12:22:14.632091+00:00,2016-09-23T12:59:16.152663+00:00,ending,7,UV05434
2016-09-23T12:28:44.067462+00:00,2016-09-23T12:41:06.565687+00:00,starting,3,V1115
2016-09-23T12:32:41.386920+00:00,2016-09-23T13:23:24.741635+00:00,ending,11,BV05810
2016-09-23T12:38:40.853339+00:00,2016-09-23T12:56:52.521459+00:00,starting,7,896
2016-09-23T13:01:35.621311+00:00,2016-09-23T13:31:21.010835+00:00,ending,5,334
2016-09-23T13:17:02.756689+00:00,2016-09-23T13:34:59.750745+00:00,starting,5,UV05434
2016-09-23T13:37:15.141008+00:00,2016-09-23T14:11:14.404149+00:00,starting,6,334
2016-09-23T13:43:06.935756+00:00,2016-09-23T14:21:05.300242+00:00,ending,8,BV05584
2016-09-23T14:06:31.891947+00:00,2016-09-23T14:18:01.092681+00:00,starting,2,BV05810
2016-09-23T14:24:28.951116+00:00,2016-09-23T14:52:26.527439+00:00,ending,4,1204
2016-09-23T14:51:45.408958+00:00,2016-09-23T15:46:50.142073+00:00,ending,10,387
2016-09-23T16:05:32.421430+00:00,2016-09-23T17:08:41.598821+00:00,ending,7,357
2016-09-23T16:07:12.979473+00:00,2016-09-23T16:18:16.251703+00:00,starting,3,1204
2016-09-23T16:09:33.337971+00:00,2016-09-23T16:42:00+00:00,ending,4,1482
2016-09-23T16:28:10.232463+00:00,2016-09-23T16:53:30.158722+00:00,starting,3,BV05584
2016-09-23T16:42:52.290128+00:00,2016-09-23T16:59:10.714212+00:00,starting,5,387
2016-09-23T16:47:11.276095+00:00,2016-09-23T17:05:05.136652+00:00,ending,3,BV01673
2016-09-23T16:49:27.880301+00:00,2016-09-23T19:21:05.670284+00:00,ending,9,BV05562
2016-09-23T17:52:16.781076+00:00,2016-09-23T18:33:38.979999+00:00,starting,6,BV01673
2016-09-23T18:13:15.313627+00:00,2016-09-23T18:46:26.474470+00:00,ending,10,594
2016-09-23T18:13:30.290103+00:00,2016-09-23T18:29:49.681030+00:00,ending,4,V0267
2016-09-23T18:25:18.317860+00:00,2016-09-23T19:29:29.486830+00:00,starting,13,1482
2016-09-23T18:35:12.562095+00:00,2016-09-23T18:46:01.907206+00:00,starting,3,V0267
2016-09-23T18:40:57.389248+00:00,2016-09-23T18:56:13.655027+00:00,ending,3,V1057
2016-09-23T19:13:12.128502+00:00,2016-09-23T19:47:38.037460+00:00,starting,9,V1057
2016-09-23T19:49:37.469906+00:00,2016-09-23T20:38:18.200058+00:00,starting,14,594
2016-09-23T19:59:47.566422+00:00,2016-09-23T20:27:23.218509+00:00,ending,12,C2061
2016-09-23T20:11:45.339587+00:00,2016-09-23T20:35:30.019366+00:00,ending,4,761
2016-09-23T20:40:50.011682+00:00,2016-09-23T20:50:34.149219+00:00,ending,1,761
2016-09-23T20:40:50.011682+00:00,2016-09-23T20:50:34.149219+00:00,starting,1,761
2016-09-23T20:42:03.322000+00:00,2016-09-23T21:17:30.549473+00:00,ending,15,V0589
2016-09-23T20:44:58.403155+00:00,2016-09-23T21:13:59.365541+00:00,starting,9,BV05562
2016-09-23T20:51:47.947877+00:00,2016-09-23T21:12:44.620297+00:00,ending,5,BV05254
2016-09-23T21:04:33.420040+00:00,2016-09-23T21:37:32.987106+00:00,starting,9,761
2016-09-23T21:40:33.127468+00:00,2016-09-23T22:00:41.802734+00:00,starting,9,V0589
2016-09-23T22:01:16.020662+00:00,2016-09-23T22:10:54.763299+00:00,ending,3,863
2016-09-23T22:59:09.990801+00:00,2016-09-23T23:34:20.762435+00:00,ending,10,1482
2016-09-23T23:12:46.467886+00:00,2016-09-23T23:31:35.432014+00:00,starting,11,863
2016-09-23T23:37:15.248711+00:00,2016-09-24T00:15:54.188563+00:00,starting,16,357
2016-09-24T01:58:56.860092+00:00,2016-09-24T02:28:54.497610+00:00,starting,8,1482
2016-09-24T04:02:35.416883+00:00,2016-09-24T04:19:08.870044+00:00,ending,9,V0503
2016-09-24T04:46:46.186466+00:00,2016-09-24T05:04:02.831142+00:00,starting,7,BV05254
2016-09-24T05:36:37.715314+00:00,2016-09-24T06:10:29.530157+00:00,ending,19,414
2016-09-24T06:23:16.429294+00:00,2016-09-24T06:47:05.000189+00:00,ending,12,V0843
2016-09-24T06:28:09.799108+00:00,2016-09-24T07:00:52.884171+00:00,starting,16,V0503
2016-09-24T06:58:53.268289+00:00,2016-09-24T09:51:02.149844+00:00,ending,40,414
2016-09-24T06:58:53.268289+00:00,2016-09-24T09:51:02.149844+00:00,starting,40,414
2016-09-24T07:10:30.588592+00:00,2016-09-24T07:26:14.927857+00:00,starting,3,V0843
2016-09-24T07:20:00.270964+00:00,2016-09-24T07:51:03.871263+00:00,starting,19,C2061
2016-09-24T07:23:42.500533+00:00,2016-09-24T08:18:40.741144+00:00,ending,4,258
2016-09-24T07:42:21.878129+00:00,2016-09-24T08:56:06.752243+00:00,ending,15,V0107
2016-09-24T08:46:24.519623+00:00,2016-09-24T09:12:02.656283+00:00,starting,10,258
2016-09-24T09:12:06.357636+00:00,2016-09-24T09:30:40.179772+00:00,starting,5,V0107
2016-09-24T09:21:29.197221+00:00,2016-09-24T09:39:11.357664+00:00,ending,9,BV01795
2016-09-24T09:45:04.013272+00:00,2016-09-24T10:32:10.367141+00:00,ending,21,UV05429
2016-09-24T09:52:11.083990+00:00,2016-09-24T10:20:23.222562+00:00,starting,6,BV01795
2016-09-24T10:02:48.916748+00:00,2016-09-24T10:42:04.747035+00:00,ending,9,BV01553
2016-09-24T10:03:06.249337+00:00,2016-09-24T11:33:23.658809+00:00,ending,22,414
2016-09-24T10:03:06.249337+00:00,2016-09-24T11:33:23.658809+00:00,starting,22,414
2016-09-24T10:15:09.150206+00:00,2016-09-24T11:01:46.469724+00:00,ending,8,512
2016-09-24T11:10:47.372942+00:00,2016-09-24T11:42:29.591944+00:00,starting,9,BV01553
2016-09-24T11:20:29.452852+00:00,2016-09-24T12:12:40.563154+00:00,ending,16,BV02692
2016-09-24T11:25:48.746601+00:00,2016-09-24T11:33:08.652609+00:00,ending,2,BV02508
2016-09-24T11:32:48.853884+00:00,2016-09-24T11:56:11.183837+00:00,starting,6,512
2016-09-24T11:45:04.651731+00:00,2016-09-24T12:32:43.822768+00:00,ending,14,BV05597
2016-09-24T11:45:15.559022+00:00,2016-09-24T12:02:16.409777+00:00,ending,2,BV05788
2016-09-24T12:22:31.415329+00:00,2016-09-24T13:03:45.511676+00:00,starting,9,BV05788
2016-09-24T12:28:57.844638+00:00,2016-09-24T12:58:26.562303+00:00,starting,10,BV02508
2016-09-24T12:35:01.462219+00:00,2016-09-24T13:19:02.025312+00:00,starting,6,BV02692
2016-09-24T13:07:39.142100+00:00,2016-09-24T13:18:41.257128+00:00,ending,2,BC02231
2016-09-24T13:08:07.398203+00:00,2016-09-24T13:59:15.138109+00:00,starting,20,414
2016-09-24T13:08:29.892776+00:00,2016-09-24T13:25:54.212579+00:00,ending,4,753
2016-09-24T13:09:07.022643+00:00,2016-09-24T13:43:38.020473+00:00,starting,12,BV05597
2016-09-24T13:16:16.490911+00:00,2016-09-24T13:37:15.783867+00:00,ending,4,BV01566
2016-09-24T13:18:21.416865+00:00,2016-09-24T13:33:04.033969+00:00,ending,4,1325
2016-09-24T13:27:46.756393+00:00,2016-09-24T15:18:00.562587+00:00,starting,23,753
2016-09-24T13:33:21.145898+00:00,2016-09-24T13:59:17.412099+00:00,ending,5,V0279
2016-09-24T13:36:14.757822+00:00,2016-09-24T14:01:43.518957+00:00,ending,7,V0578
2016-09-24T13:48:47.136328+00:00,2016-09-24T14:55:49.027690+00:00,starting,9,BC02231
2016-09-24T14:09:03.776641+00:00,2016-09-24T15:09:54.115945+00:00,starting,8,BV01566
2016-09-24T14:23:22.860806+00:00,2016-09-24T15:17:41.161671+00:00,starting,12,V0279
2016-09-24T14:23:47.308589+00:00,2016-09-24T14:40:52.065122+00:00,ending,4,736
2016-09-24T14:35:28.493587+00:00,2016-09-24T15:26:13.259799+00:00,starting,19,V0578
2016-09-24T14:52:36.629976+00:00,2016-09-24T15:25:10.471443+00:00,ending,14,C2076
2016-09-24T15:17:31.178816+00:00,2016-09-24T17:14:24.856785+00:00,ending,14,311
2016-09-24T15:29:04.204427+00:00,2016-09-24T15:43:30.973971+00:00,ending,3,UV02668
2016-09-24T15:46:56.878091+00:00,2016-09-24T16:10:25.560439+00:00,ending,6,1010
2016-09-24T15:55:42.501305+00:00,2016-09-24T16:19:16.276000+00:00,starting,4,736
2016-09-24T16:15:29.329488+00:00,2016-09-24T16:33:20.815939+00:00,starting,4,1325
2016-09-24T16:18:39.841708+00:00,2016-09-24T16:40:32.805397+00:00,starting,5,C2076
2016-09-24T16:27:15.659704+00:00,2016-09-24T16:44:36.728723+00:00,ending,4,V0178
2016-09-24T16:28:04.328663+00:00,2016-09-24T16:43:30.133840+00:00,ending,3,V0122
2016-09-24T16:30:19.760989+00:00,2016-09-24T17:38:45.908487+00:00,ending,11,UV01174
2016-09-24T16:55:14.895578+00:00,2016-09-24T17:38:00.421123+00:00,ending,11,799
2016-09-24T16:58:27.815949+00:00,2016-09-24T17:17:15.562715+00:00,starting,3,1010
2016-09-24T17:03:08.849853+00:00,2016-09-24T17:34:36.812284+00:00,starting,5,V0122
2016-09-24T17:17:17.910100+00:00,2016-09-24T18:49:49.454942+00:00,ending,9,BV05650
2016-09-24T17:26:27.692970+00:00,2016-09-24T17:57:25.639877+00:00,starting,5,UV02668
2016-09-24T17:32:31.108843+00:00,2016-09-24T18:25:53.036362+00:00,starting,8,V0178
2016-09-24T17:33:13.241369+00:00,2016-09-24T18:25:56.766725+00:00,ending,10,BV02708
2016-09-24T17:51:14.177894+00:00,2016-09-24T18:00:51.943297+00:00,starting,2,311
2016-09-24T17:56:12.024212+00:00,2016-09-24T18:31:43.845919+00:00,starting,6,799
2016-09-24T17:58:55.296188+00:00,2016-09-24T18:47:06.361832+00:00,starting,19,UV01174
2016-09-24T18:02:03.575506+00:00,2016-09-24T18:43:25.779114+00:00,ending,13,BC02372
2016-09-24T18:04:16.354526+00:00,2016-09-24T18:44:35.706114+00:00,starting,12,UV05429
2016-09-24T18:11:11.560287+00:00,2016-09-24T18:27:41.443969+00:00,ending,4,263
2016-09-24T18:18:01.474600+00:00,2016-09-24T18:54:18.974320+00:00,ending,10,597
2016-09-24T18:39:59.517798+00:00,2016-09-24T19:31:23.684946+00:00,starting,16,BV02708
2016-09-24T19:10:29.156803+00:00,2016-09-24T20:05:27.417477+00:00,starting,12,BV05650
2016-09-24T19:18:49.145571+00:00,2016-09-24T19:47:50.719109+00:00,ending,8,BV05325
2016-09-24T19:38:48.784236+00:00,2016-09-24T20:21:43.661700+00:00,starting,10,597
2016-09-24T19:43:07.793978+00:00,2016-09-24T20:00:35.763344+00:00,ending,4,BV02283
2016-09-24T20:13:14.067282+00:00,2016-09-24T20:23:06.505442+00:00,ending,3,BV05553
2016-09-24T20:49:13.604148+00:00,2016-09-24T21:24:39.007939+00:00,starting,9,BV05553
2016-09-24T20:51:24.683890+00:00,2016-09-24T21:15:01.790183+00:00,ending,7,V0683
2016-09-24T20:52:03.956234+00:00,2016-09-24T22:01:57.688403+00:00,ending,22,BV01837
2016-09-24T20:53:18.910854+00:00,2016-09-24T21:22:50.337583+00:00,starting,6,BC02372
